id;historia;independente;negociavel;valiosa;estimavel;pequena;testavel;conforme_6de6
0;Como telespectador, eu quero um controle remoto com design ergonômico e orgânico para ter conforto durante o uso prolongado;1;1;1;1;1;1;1
1;Como comprador, eu quero que o controle remoto tenha uma sensação agradável ao toque com materiais de qualidade para validar a compra;1;1;1;1;1;1;1
2;Como telespectador, eu quero mudar de canais através de botões numerados (1-9) para navegar rapidamente entre meus canais favoritos;1;1;1;1;1;1;1
3;Como Jovem Adulto Tech-Savvy, eu quero um controle remoto que mantenha apenas funcionalidades essenciais com design limpo para ter uma experiência intuitiva e moderna;1;1;1;1;1;1;1
4;Como Usuário Final, eu quero que o controle remoto tenha um grip ergonômico e confortável para manipulá-lo facilmente durante sessões de visualização;1;1;1;1;1;1;1
5;Como usuário, eu quero que o reconhecimento de voz seja um diferencial competitivo do produto para justificar minha escolha de compra;1;1;1;1;1;1;1
6;Como usuário com limitações motoras, eu quero usar reconhecimento de voz para controlar a televisão através de comandos verbais;1;1;1;1;1;1;1
7;Como criança, eu quero que o controle remoto tenha cores vibrantes e design lúdico para que seja atrativo e divertido de usar;1;1;1;0;1;1;0
8;Como um usuário de funções básicas, eu quero que as funções avançadas fiquem ocultas ou separadas para que elas não interfiram ou confundam meu uso das operações simples;1;1;1;0;1;0;0
9;Como comprador, eu quero que o controle remoto tenha cores vibrantes e atraentes para que se destaque visualmente entre outros produtos;1;1;1;0;1;0;0
10;Como criança, eu quero um controle remoto resistente a manuseio agressivo para que ele não se quebre facilmente quando eu o seguro com força;1;1;1;1;1;1;1
11;Como um usuário com daltonismo, eu quero que o controle remoto use alto contraste entre cores e elementos visuais para que eu possa distinguir claramente os diferentes botões e funções;1;1;1;1;1;1;1
12;Como telespectador idoso, eu quero acessar facilmente as funções básicas de TV (ligar/desligar, volume, canal, teletext, legendas) sem botões desnecessários para que eu possa operar o controle com confiança;1;0;1;1;1;1;0
13;Como comprador, eu quero que o controle remoto tenha um design visualmente atrativo e moderno para me sentir motivado a comprar o produto na loja;1;1;1;0;1;0;0
14;Como usuário com necessidades de acessibilidade, eu quero botões com cores contrastantes em relação ao corpo do controle para que eu possa identificá-los visualmente com facilidade;1;1;1;1;1;1;1
15;Como jovem adulto personalizador, eu quero capas com materiais inovadores e texturas diferenciadas (como spongy) para ter uma experiência tátil única;1;0;1;0;1;0;0
16;Como telespectador, eu quero controlar o volume da televisão através de botões dedicados para ajustar o som conforme necessário;1;1;1;1;1;1;1
17;Como um usuário de funções avançadas, eu quero acessar menus, reconhecimento de voz e funções customizáveis para que eu possa personalizar e controlar o controle remoto de forma sofisticada;1;1;1;0;0;1;0
18;Como um usuário adulto, eu quero que o controle remoto tenha alto contraste visual e cores que não causem confusão para pessoas com daltonismo para que eu possa usar o dispositivo com clareza;1;1;1;1;1;1;1
19;Como pessoa com mobilidade reduzida, eu quero que o controle remoto tenha design ergonômico e confortável para uso prolongado;1;1;1;1;1;1;1
20;Como usuário de voz, eu quero que o reconhecimento de voz seja preciso e confiável para que meus comandos sejam executados corretamente;1;1;1;1;1;1;1
21;Como fabricante, eu quero um controle remoto que seja economicamente viável de produzir para manter custos de manufatura dentro do orçamento;1;1;1;1;1;1;1
22;Como telespectador casual, eu quero um controle remoto confiável e de baixo custo para que eu possa adquiri-lo sem investimento significativo;1;1;1;0;0;0;0
23;Como um usuário jovem, eu quero que o controle remoto tenha design moderno com cores vibrantes e formas curvas para que o dispositivo seja atraente e reflita as tendências de moda que acompanho;1;0;1;1;1;0;0
24;Como telespectador jovem/adulto, eu quero um controle remoto com opções de personalização visual (capas intercambiáveis) para que eu possa expressar meu estilo pessoal e customizar o dispositivo;1;1;1;0;0;0;0
