meeting,persona,story,independente,negociavel,valiosa,estimavel,pequena,testavel,conformant,justification
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero operar o controle remoto com uma mão para poder assistir televisão confortavelmente sem precisar usar ambas as mãos",True,True,True,True,True,True,True,"História clara, coesa e centrada em um único objetivo ergonômico verificável por testes de usabilidade com usuários operando o controle com uma mão."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero que todos os botões sejam facilmente alcançáveis mesmo com mãos pequenas para poder usar o controle remoto confortavelmente",True,True,True,True,True,True,True,"História coesa e centrada no usuário, com intenção clara de acessibilidade ergonômica verificável por testes com usuários de mãos pequenas."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero usar o controle remoto confortavelmente independentemente de ser destro ou canhoto para poder assistir televisão sem restrições",True,True,True,True,True,True,True,"História bem formada: foca em um único objetivo de usabilidade (conforto ambidestro no controle remoto), deixa a solução em aberto e é verificável por testes com usuários destros e canhotos."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero mudar de canais através de botões numerados (1-9) para navegar rapidamente entre meus canais favoritos",True,False,True,True,True,True,False,"A história impõe uma solução técnica específica (botões numerados 1-9), eliminando a negociabilidade sobre como implementar a navegação rápida entre canais favoritos."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero controlar o volume da televisão através de botões dedicados para ajustar o som conforme necessário",True,True,True,True,True,True,True,"História clara e coesa sobre controle de volume, com objetivo delimitado, valor evidente ao usuário e critérios de aceitação verificáveis (ex.: botões aumentam/diminuem o volume corretamente)."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero silenciar rapidamente o som através de um botão mute para responder chamadas de telefone ou evitar ruídos",True,True,True,True,True,True,True,"História clara, coesa e centrada em um único objetivo verificável (silenciar o som rapidamente), com valor evidente para o telespectador e sem imposição de solução técnica."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero ajustar configurações de imagem como brilho, contraste e nitidez através do menu do controle remoto para otimizar a qualidade visual",True,True,True,True,False,True,False,"A história agrupa três ajustes distintos (brilho, contraste e nitidez) que poderiam ser histórias separadas, tornando-a um aglomerado de múltiplos objetivos independentes."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero ativar legendas através do controle remoto para assistir programas em idiomas diferentes ou com áudio baixo",True,True,True,True,True,True,True,"História clara, coesa e centrada no usuário, com objetivo delimitado e verificável por meio de testes de usabilidade com o controle remoto."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador, eu quero usar comandos de voz para controlar a televisão para maior conveniência e acessibilidade",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve a necessidade de controle por voz sem impor solução técnica, tem valor claro para o usuário e pode ser verificada testando se comandos de voz executam as ações esperadas na TV."
meeting_0,Telespectador / Usuário Doméstico,"Como telespectador internacional, eu quero que o controle remoto funcione sem depender de idioma específico para usar o produto em qualquer mercado",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve a necessidade de um controle remoto agnóstico a idioma, com valor claro para o usuário internacional e critério verificável (testar se usuários de diferentes idiomas conseguem operar o produto sem barreiras linguísticas)."
