engine,clip,audio_s,proc_s,rtf,wer,cer,reference,hypothesis
local,common_voice_pt_21994903.mp3,6.82,2.91,0.427,0.0714,0.0127,nós partiremos amanhã antes do nascer do sol foi a única resposta do alquimista,nós partiremos amanhã antes de nascer do sol foi a única resposta do alquimista
local,common_voice_pt_21994905.mp3,4.87,2.43,0.498,0.1250,0.0500,o leão e a leoa são animais assustadores,o leão e a leó são animais assustadores
local,common_voice_pt_21917227.mp3,5.66,2.45,0.433,0.0000,0.0000,alguns foram embora enquanto eu estava lá e outras pessoas vieram,alguns foram embora enquanto eu estava lá e outras pessoas vieram
local,common_voice_pt_21917226.mp3,3.70,2.33,0.631,0.0000,0.0000,não faça 1 cavalo livre,não faça 1 cavalo livre
local,common_voice_pt_22009148.mp3,4.75,2.27,0.477,0.4444,0.2195,reserve 1 hotel para amanhã às 9 da noite,reserve un hotel para mañana a 9 de noite
local,common_voice_pt_30613698.mp3,4.90,2.49,0.508,0.6250,0.1714,de olho no pomar e outro no vinhedo,de olho do o mar é outro no vinho
local,common_voice_pt_30613704.mp3,2.81,2.58,0.918,0.0000,0.0000,todo mundo está em pé,todo mundo está em pé
local,common_voice_pt_30613695.mp3,3.24,2.45,0.756,0.2500,0.1429,o que você fez,e o que você fez
local,common_voice_pt_30613709.mp3,7.24,2.35,0.324,0.5000,0.1786,estes sistemas são essenciais para o desenvolvimento do catalão em novas tecnologias,esses sistemas são entente para o desenvolvimento de cada 1 de novas tecnologias
local,common_voice_pt_30613708.mp3,3.42,2.57,0.753,0.0000,0.0000,nossa senhora dos remédios,nossa senhora dos remédios
local,common_voice_pt_30613696.mp3,5.15,2.41,0.469,0.1667,0.0541,pegue as amostras para sua observação,pegue as amostras para a sua observação
local,common_voice_pt_29206687.mp3,2.92,2.18,0.749,0.0000,0.0000,barra do guarita,barra do guarita
local,common_voice_pt_29206190.mp3,4.54,2.44,0.538,0.0000,0.0000,a parte complicada é integrálo ao sistema,a parte complicada é integrálo ao sistema
local,common_voice_pt_29206688.mp3,5.40,2.50,0.464,0.2500,0.0820,ele tentou coletar estrume da rua e vendêlos mas ele não saiu,ele tentou coletar a estrome da rua e vendemos mas ele não saiu
local,common_voice_pt_29206689.mp3,3.60,2.64,0.733,0.1429,0.0938,aquele que avisa não é 1 traidor,aquele que avisa não é 1 peidor
local,common_voice_pt_29206191.mp3,5.44,2.37,0.436,0.2500,0.0923,para demiurgo o universo sensível tem a textura de 1 teia molhada,para demiúrgico o universo é sensível ter a textura de 1 teia molhada
local,common_voice_pt_29206743.mp3,2.81,2.32,0.826,0.0000,0.0000,e é a torneira,e é a torneira
local,common_voice_pt_29206745.mp3,4.79,2.30,0.481,0.2857,0.1304,defende a urna eletrônica e critica apoiadores,defende a une eletrônica e criese apoiadores
local,common_voice_pt_29206741.mp3,5.51,2.46,0.446,0.1818,0.1231,da mesma forma devemos acrescentar o tema da morte e ressurreição,da mesma forma devemos acrescentar o tema da morte da resolução
local,common_voice_pt_36049718.mp3,4.97,2.34,0.472,0.0000,0.0000,você sabe que vai começar a filmar amanhã,você sabe que vai começar a filmar amanhã
local,common_voice_pt_36049353.mp3,4.50,2.44,0.542,0.0000,0.0000,o olhar para o aluno é individualizado,o olhar para o aluno é individualizado
local,common_voice_pt_36049652.mp3,3.78,2.38,0.631,0.0000,0.0000,santa cecília do pavão,santa cecília do pavão
local,common_voice_pt_36049721.mp3,3.89,2.34,0.601,0.0000,0.0000,conceição do canindé,conceição do canindé
local,common_voice_pt_36049228.mp3,4.25,2.34,0.550,0.0000,0.0000,você pode mudar de ideia,você pode mudar de ideia
local,common_voice_pt_36049649.mp3,7.85,2.43,0.310,0.0714,0.0132,de repente 1 dos falcões fez 1 mergulho intermitente no céu atacando o outro,de repente 1 dos talcões fez 1 mergulho intermitente no céu atacando o outro
local,common_voice_pt_36049232.mp3,5.33,2.34,0.440,0.0000,0.0000,população crime e pauperismo,população crime e pauperismo
local,common_voice_pt_36049351.mp3,6.41,2.39,0.373,0.0833,0.0364,você está hoje ou aqui para eu vir comigo por 5 minutos,você está hoje ou aqui para eu ouvir comigo por 5 minutos
local,common_voice_pt_36049722.mp3,4.86,2.37,0.487,0.0000,0.0000,foi como ver a noiva na décima segunda hora,foi como ver a noiva na décima segunda hora
local,common_voice_pt_36049720.mp3,4.14,2.33,0.563,0.0000,0.0000,o senhor tem 1 grande susto,o senhor tem 1 grande susto
local,common_voice_pt_36049719.mp3,8.14,2.37,0.292,0.0000,0.0000,exercícios que beneficiam cada grupo muscular e articulam aqueles que compõem a coluna,exercícios que beneficiam cada grupo muscular e articulam aqueles que compõem a coluna
local,common_voice_pt_19276296.mp3,2.74,2.35,0.858,0.0000,0.0000,projetor de tela,projetor de tela
local,common_voice_pt_19276293.mp3,3.62,2.28,0.630,0.0000,0.0000,ter 1 plano de longo prazo,ter 1 plano de longo prazo
local,common_voice_pt_19276298.mp3,3.34,2.28,0.684,0.2000,0.1034,ela nasceu em phoenix arizona,ela nasceu em fenix arizona
local,common_voice_pt_19276294.mp3,3.26,2.23,0.683,0.0000,0.0000,nós não temos relação de sangue,nós não temos relação de sangue
local,common_voice_pt_19276292.mp3,7.58,3.71,0.489,0.4000,0.3000,alguém pode atender o telefone,alguém ordena o telefone
local,common_voice_pt_19276297.mp3,4.06,2.25,0.554,0.0000,0.0000,a alça da taça está quebrada,a alça da taça está quebrada
local,common_voice_pt_19276300.mp3,4.06,2.37,0.584,0.1667,0.0323,o árabe aceitouos sem 1 palavra,o árabe aceitouos tem 1 palavra
local,common_voice_pt_19276301.mp3,4.30,2.40,0.559,0.4286,0.2121,o festival de arte foi 1 desastre,o feixe valdiarte foi 1 desastre
local,common_voice_pt_19276315.mp3,2.74,2.22,0.811,0.0000,0.0000,não é 1 pouco cheio,não é 1 pouco cheio
local,common_voice_pt_19276316.mp3,2.62,2.46,0.942,0.0000,0.0000,não é o dinheiro,não é o dinheiro
local,common_voice_pt_19276295.mp3,2.98,2.23,0.749,0.3333,0.0833,tudo estava sincronizado,tudo estava synchronizado
local,common_voice_pt_27023330.mp3,3.82,2.54,0.665,0.0000,0.0000,bebeu do próprio veneno,bebeu do próprio veneno
local,common_voice_pt_27023601.mp3,5.08,2.38,0.469,0.0000,0.0000,mas a largura de banda lenta pode causar problemas,mas a largura de banda lenta pode causar problemas
local,common_voice_pt_27023336.mp3,5.51,2.34,0.426,0.0000,0.0000,esta é a minha sentença que se pronuncia firme e firmemente,esta é a minha sentença que se pronuncia firme e firmemente
local,common_voice_pt_27023597.mp3,3.13,2.38,0.761,0.0000,0.0000,o vinho faz você dormir,o vinho faz você dormir
local,common_voice_pt_27023595.mp3,5.15,2.45,0.476,0.0769,0.0357,qual é a distância da terra até a lua e desta até plutão,qual a distância da terra até a lua e desta até plutão
local,common_voice_pt_27023546.mp3,4.28,2.56,0.597,0.0000,0.0000,o governo proibiu a exportação de crustáceos,o governo proibiu a exportação de crustáceos
local,common_voice_pt_27023543.mp3,6.01,2.48,0.412,0.1000,0.0333,a inovação é a oportunidade para taiwan sobreviver no futuro,a inovação é a oportunidade para taiyuan sobreviver no futuro
local,common_voice_pt_27023540.mp3,6.30,2.57,0.408,0.0909,0.0149,sua população é basicamente dedicada ao turismo ecológico e à pesca,sua população é basicamente dedicada ao turismo ecológico e a pesca
local,common_voice_pt_27023332.mp3,4.72,2.35,0.499,0.0000,0.0000,atividades que envolvem o processo de aprendizagem,atividades que envolvem o processo de aprendizagem
local,common_voice_pt_27023535.mp3,5.80,2.41,0.415,0.0000,0.0000,quem sabe se depois de tantos terrores a criança nasceria morta,quem sabe se depois de tantos terrores a criança nasceria morta
local,common_voice_pt_27023334.mp3,4.90,2.31,0.472,0.0000,0.0000,isso influencia poderosamente o nível de salários,isso influencia poderosamente o nível de salários
local,common_voice_pt_27685086.mp3,5.51,2.44,0.443,0.0000,0.0000,se isso não for possível as chamadas necessárias serão feitas,se isso não for possível as chamadas necessárias serão feitas
local,common_voice_pt_27685090.mp3,3.71,2.46,0.663,0.0000,0.0000,a vacina chegará aos jovens europeus,a vacina chegará aos jovens europeus
local,common_voice_pt_27685068.mp3,7.78,2.68,0.344,0.2500,0.0667,oceanos pacífico atlântico índico antártico e glacial ártico,oceanos pacífico atlântico índico antártico iglesial ártico
local,common_voice_pt_27685101.mp3,2.74,2.29,0.837,0.0000,0.0000,você vai fazer isso,você vai fazer isso
local,common_voice_pt_27685099.mp3,5.94,2.37,0.400,0.3333,0.0339,angola guiné bissau cabo verde e moçambique falam português,angola guinébissau cabo verde e mozambique falam português
local,common_voice_pt_27685098.mp3,8.46,2.38,0.282,0.0000,0.0000,em relação aos resultados estes são produzidos principalmente por extrações de bombeamento para consumo,em relação aos resultados estes são produzidos principalmente por extrações de bombeamento para consumo
local,common_voice_pt_27685069.mp3,3.96,2.24,0.565,0.0000,0.0000,toda forma de amor é válida,toda forma de amor é válida
local,common_voice_pt_25183518.mp3,3.46,2.25,0.650,0.1667,0.0312,a cristiane não saiu do facebook,a cristiana não saiu do facebook
local,common_voice_pt_25183528.mp3,3.67,2.39,0.650,0.7500,0.1333,artur antunis oliveira freitas,artura em tunis oliveira freitas
local,common_voice_pt_25183535.mp3,2.88,2.23,0.775,0.2500,0.0455,celso lopes de freitas,celso lobes de freitas
local,common_voice_pt_25183529.mp3,5.04,2.46,0.488,0.1667,0.0678,seja dono da sua boca para não ser escravo de suas palavras,seja o dono da sua boca para não ser escralos de suas palavras
local,common_voice_pt_25183530.mp3,2.48,2.27,0.915,0.0000,0.0000,antônio josé de almeida,antônio josé de almeida
local,common_voice_pt_25183533.mp3,2.81,2.27,0.810,0.0000,0.0000,tente você mesmo primeiro,tente você mesmo primeiro
local,common_voice_pt_25183521.mp3,5.15,2.42,0.470,1.0000,0.2439,nicoli franciane lorrane thamires e kaíke,nicolio franciano e lorrânio tamires e caíque
local,common_voice_pt_25183532.mp3,2.84,2.26,0.794,0.6667,0.1765,passou este passe,eu sou este passe
local,common_voice_pt_28306613.mp3,3.35,2.34,0.700,0.0000,0.0000,ele precisava de 1 bebida,ele precisava de 1 bebida
local,common_voice_pt_28306610.mp3,5.80,2.34,0.403,0.0000,0.0000,todos os órgãos estão expostos em nossa sala de exposições,todos os órgãos estão expostos em nossa sala de exposições
local,common_voice_pt_28306611.mp3,4.79,2.34,0.489,0.0000,0.0000,gosto de estudar física ao invés de história,gosto de estudar física ao invés de história
local,common_voice_pt_28306590.mp3,5.04,2.30,0.457,0.0000,0.0000,isso é verdade tanto nas cartas quanto na política,isso é verdade tanto nas cartas quanto na política
local,common_voice_pt_28306604.mp3,3.53,2.50,0.708,0.6000,0.2400,acabou sendo 1 chá amargo,acabou sendo chá no arco
local,common_voice_pt_28306603.mp3,5.51,2.63,0.478,0.2000,0.2128,reserveme 1 reserva no quênia para 1 festa de 6,reserveme 1 reserva no kenya para 1 festa de senhos
local,common_voice_pt_28306602.mp3,4.90,2.38,0.486,0.5000,0.2286,sarah natan alessandro átila e john,sarah natang alessandro achoa and john
local,common_voice_pt_28306600.mp3,6.41,2.34,0.365,0.7500,0.1667,carlos roberto bertoni sanches,carlos roberto bertão de sanchez
local,common_voice_pt_28306592.mp3,2.63,2.27,0.863,0.0000,0.0000,escolha do 0,escolha do 0
local,common_voice_pt_25198664.mp3,4.00,2.27,0.567,0.0000,0.0000,internet banda larga,internet banda larga
local,common_voice_pt_25198663.mp3,4.72,2.25,0.478,0.2500,0.0357,adalgisa apolinario da silva,adalgisa apolinário da silva
local,common_voice_pt_25198645.mp3,3.17,2.29,0.722,0.0000,0.0000,abra a janela,abra a janela
local,common_voice_pt_25198646.mp3,4.36,2.30,0.527,0.5000,0.0870,celino calixto de souza,selino calisto de souza
local,common_voice_pt_25198693.mp3,4.50,2.21,0.491,0.0000,0.0000,o edital foi lançado no último mês,o edital foi lançado no último mês
local,common_voice_pt_25198692.mp3,3.28,2.27,0.693,0.0000,0.0000,o que ele diz,o que ele diz
local,common_voice_pt_25198647.mp3,5.44,2.29,0.422,0.1111,0.0196,coloque 1 adesivo de tatuagem de primavera no braço,coloque 1 andesivo de tatuagem de primavera no braço
local,common_voice_pt_25198648.mp3,3.82,2.31,0.606,0.2500,0.0741,também explodiu em lágrimas,também explodiu in lágrimas
local,common_voice_pt_25198660.mp3,5.26,2.34,0.445,0.0000,0.0000,sabedoria é conhecimento usado para o bem,sabedoria é conhecimento usado para o bem
local,common_voice_pt_25198661.mp3,5.58,2.34,0.419,0.0000,0.0000,crianças na escola tirando 1 foto com seu professor,crianças na escola tirando 1 foto com seu professor
local,common_voice_pt_25198662.mp3,4.00,2.30,0.576,0.0000,0.0000,esse trabalho ainda está aberto,esse trabalho ainda está aberto
local,common_voice_pt_28944458.mp3,3.82,2.29,0.600,0.0000,0.0000,4 horas da manhã e nenhum sinal dele,4 horas da manhã e nenhum sinal dele
local,common_voice_pt_28944346.mp3,2.92,2.35,0.806,1.0000,0.4000,salto do lontra,solta o lolontre
local,common_voice_pt_28944428.mp3,4.79,2.32,0.485,0.1111,0.0227,use a wifi do aerorporto ou de qualquer café,use a wifi do aeroporto ou de qualquer café
local,common_voice_pt_28944416.mp3,4.61,2.35,0.509,0.4167,0.1961,se marido e mulher falam com os pais a dança é ruim,se 1 de de melhor falou com os pais a dança é ruim
local,common_voice_pt_28944349.mp3,2.45,2.25,0.921,0.6667,0.2857,bento de abreu,dentro de abril
local,common_voice_pt_28944347.mp3,3.64,2.23,0.612,0.5000,0.3750,oh o que você me entende,o que você me tem angel
local,common_voice_pt_28944468.mp3,5.62,2.38,0.424,0.2500,0.0984,nenhum de nós tinha a geórgia se encaixando mas eu não pensei,nem onde nós tinha a georgia se encaixando mas eu não pensei
local,common_voice_pt_28944343.mp3,3.42,2.21,0.646,0.0000,0.0000,e assim eles foram embora,e assim eles foram embora
local,common_voice_pt_28944462.mp3,3.89,2.54,0.653,0.0000,0.0000,a floresta é o banco de poupança de 1 fazendeiro,a floresta é o banco de poupança de 1 fazendeiro
local,common_voice_pt_28944464.mp3,2.74,2.38,0.869,1.3333,0.4286,salto do jacuí,solta o duja cuí
local,common_voice_pt_39865333.mp3,3.49,2.36,0.677,0.0000,0.0000,quero 1 misto quente,quero 1 misto quente
local,common_voice_pt_39865330.mp3,7.20,2.44,0.339,0.6667,0.1333,mísseis balísticos hipersônicos da artilharia autopropulsada,missas balísticos e persónicos da artigaria autopropulsada
local,common_voice_pt_39906810.mp3,4.68,2.29,0.489,0.0000,0.0000,tu e a nicole andam feitos 1 com o outro,tu e a nicole andam feitos 1 com o outro
local,common_voice_pt_39906809.mp3,3.46,2.34,0.677,0.2000,0.0909,minha vida é 1 lambada,minha vida é 1 alombada
local,common_voice_pt_39906776.mp3,4.00,2.26,0.565,1.6667,0.7273,odeio este restaurante,o day wish the historian
local,common_voice_pt_39906676.mp3,3.71,2.42,0.651,0.2500,0.0400,anuncie nas redes sociais,anunciem nas redes sociais
local,common_voice_pt_39906675.mp3,4.18,2.30,0.551,0.0000,0.0000,vou dar 1 laço nele,vou dar 1 laço nele
local,common_voice_pt_39906672.mp3,4.14,2.26,0.545,0.1429,0.0667,ela me pagou tudo que me devia,ela me pagou tudo o que me devia
local,common_voice_pt_39906642.mp3,5.87,2.31,0.394,0.0000,0.0000,condensadores em paralelo aumentam a capacitância total,condensadores em paralelo aumentam a capacitância total
local,common_voice_pt_39906640.mp3,5.15,2.27,0.440,0.1250,0.0444,meus braços estão doendo preciso ir ao médico,e meus braços estão doendo preciso ir ao médico
local,common_voice_pt_39865403.mp3,4.03,2.34,0.581,0.0000,0.0000,meu filho vai tomar banho amanhã,meu filho vai tomar banho amanhã
