id,independente,negociavel,valiosa,estimavel,pequena,testavel,conformant
0,True,True,True,True,True,True,True
1,True,True,True,True,True,True,True
2,True,False,True,True,True,True,False
3,False,True,True,True,True,True,False
4,False,True,True,True,True,True,False
5,False,False,True,True,True,True,False
6,True,True,True,True,True,True,True
7,True,True,True,True,True,True,True
8,True,True,True,True,True,True,True
9,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True
11,True,True,True,True,True,True,True
12,True,True,True,True,False,True,False
13,True,True,True,True,True,True,True
14,True,True,True,True,True,True,True
15,True,True,True,True,True,True,True
16,True,True,True,True,True,True,True
17,True,True,True,True,True,True,True
18,True,True,True,True,True,True,True
19,True,False,True,True,True,True,False
20,True,True,True,True,False,True,False
21,True,True,True,True,True,True,True
22,True,True,True,True,True,True,True
23,True,True,True,False,False,True,False
