id,independente,negociavel,valiosa,estimavel,pequena,testavel,conformant
0,True,True,True,True,True,True,True
1,True,True,True,False,True,True,False
2,True,False,True,True,True,True,False
3,True,True,True,False,False,False,False
4,True,True,True,True,True,True,True
5,True,True,False,False,False,False,False
6,True,True,True,True,True,True,True
7,True,True,True,True,True,True,True
8,True,True,True,True,True,True,True
9,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True
11,True,True,True,True,True,True,True
12,True,True,True,True,False,True,False
13,True,True,True,False,True,True,False
14,True,False,True,True,True,True,False
15,True,True,True,False,False,False,False
16,True,True,True,True,True,True,True
17,True,True,True,False,False,False,False
18,True,True,True,True,True,True,True
19,True,True,True,True,True,True,True
20,True,True,True,False,True,True,False
21,True,True,False,False,True,False,False
22,True,True,True,False,False,False,False
23,True,False,True,False,False,False,False
24,True,True,True,True,True,True,True
