meeting,persona,story,independente,negociavel,valiosa,estimavel,pequena,testavel,conformant,justification
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero consultar o saldo orçamentário disponível por ação, grupo de despesa e fonte de recurso antes de criar uma hipótese para validar se tenho recursos suficientes para a operação",True,True,True,True,True,True,True,"História bem formada: descreve uma consulta coesa com contexto claro (ação, grupo de despesa e fonte de recurso), valor evidente para o gestor e critérios verificáveis como a exibição correta dos saldos disponíveis por cada dimensão orçamentária."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero que o sistema valide automaticamente se minha hipótese de programação orçamentária (IPOF) cabe dentro do saldo disponível por ação, grupo e fonte ao enviar, homologar e autorizar para evitar extrapolações de limite",True,True,True,True,True,True,True,"História bem delimitada e centrada no usuário: descreve claramente a necessidade de validação de saldo em três momentos do fluxo, sem impor solução técnica, com critério de aceitação verificável (sistema impede ou alerta quando o valor ultrapassa o saldo disponível por ação, grupo e fonte)."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero incluir uma hipótese informando exercício, unidade, ação, grupo de despesa, fonte de recurso e tipo de orçamento para registrar a programação orçamentária",True,False,True,True,True,True,False,"A história é bem delimitada e testável, mas não é negociável pois prescreve rigidamente os campos exatos do formulário (exercício, unidade, ação, grupo de despesa, fonte de recurso e tipo de orçamento), deixando pouco espaço para discutir como implementar a solução."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero editar uma hipótese já criada alterando seus valores e dimensões para ajustar a programação conforme necessário",False,True,True,True,True,True,False,"A história pressupõe a existência de uma hipótese previamente criada, tornando-a dependente de outra história (criação de hipótese), mas nos demais critérios é clara, focada e verificável."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero enviar uma hipótese para o próximo estágio do fluxo (homologação) para que ela seja revisada e validada",False,True,True,True,True,True,False,"A história pressupõe a existência de um fluxo com estágios definidos e de uma hipótese já criada, tornando-a dependente de outras histórias para fazer sentido; nos demais critérios ela é clara, focada e verificável."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero que o sistema valide hipóteses sem programa de trabalho informado usando apenas fonte de recurso e grupo de despesa em períodos de transição do exercício para permitir operações quando a ação não está disponível",False,False,True,True,True,True,False,"A história depende de um contexto muito específico de outra funcionalidade (validação com programa de trabalho) e impõe uma solução técnica fechada (validar apenas com fonte de recurso e grupo de despesa), mas é valiosa, delimitada e verificável no cenário de transição de exercício."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero visualizar quais hipóteses estão consumindo um determinado saldo orçamentário para identificar quais operações precisam ser ajustadas quando estou próximo do limite",True,True,True,True,True,True,True,"História bem formada: foca em um único objetivo claro (visualizar hipóteses por consumo de saldo), entrega valor direto ao gestor e admite critérios de aceitação verificáveis, como listar corretamente as hipóteses associadas a um saldo específico."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor/Operador de Orçamento (Órgão Público),"Como Gestor de Orçamento, eu quero trabalhar com múltiplos exercícios fiscais (2026, 2027, 2028, 2029) simultaneamente para gerenciar hipóteses em diferentes períodos",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve a necessidade de trabalhar com múltiplos exercícios fiscais ao mesmo tempo, deixando espaço para definir como isso será implementado e permitindo verificar se o gestor consegue de fato alternar/comparar hipóteses em diferentes períodos simultaneamente."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Contratações,"Como Gestor de Contratações, eu quero agrupar múltiplas hipóteses em uma contratação para gerenciar e editar um conjunto de hipóteses relacionadas como uma unidade",True,True,True,True,True,True,True,"História coesa e bem delimitada: descreve a necessidade de agrupar hipóteses como unidade de gestão, sem impor solução técnica, com valor claro ao gestor e critérios de aceitação verificáveis (ex.: criar grupo, editar e visualizar hipóteses agrupadas)."
[Projeto Evolução] - Detalhamento escopo e levantamento Alteração no controle de saldo orçamentário-20260505_093649-Gravação de Reunião,Gestor de Contratações,"Como Gestor de Contratações, eu quero editar múltiplas hipóteses simultaneamente dentro de uma contratação para alterar valores e dimensões em lote",True,True,True,True,True,True,True,"História coesa e bem delimitada: trata de edição em lote de hipóteses dentro de uma contratação, com objetivo claro, valor evidente para o gestor e critérios de aceitação verificáveis (ex.: alterar valores/dimensões de múltiplas hipóteses em uma única operação)."
