engine,clip,audio_s,proc_s,rtf,wer,cer,reference,hypothesis
groq,common_voice_pt_21994903.mp3,6.82,1.46,0.215,0.0714,0.0253,nós partiremos amanhã antes do nascer do sol foi a única resposta do alquimista,nós partiremos amanhã antes do nascer do sol foi a única resposta do alquimismo
groq,common_voice_pt_21994905.mp3,4.87,0.82,0.169,0.0000,0.0000,o leão e a leoa são animais assustadores,o leão e a leoa são animais assustadores
groq,common_voice_pt_21917227.mp3,5.66,0.81,0.142,0.0000,0.0000,alguns foram embora enquanto eu estava lá e outras pessoas vieram,alguns foram embora enquanto eu estava lá e outras pessoas vieram
groq,common_voice_pt_21917226.mp3,3.70,0.90,0.244,0.0000,0.0000,não faça 1 cavalo livre,não faça 1 cavalo livre
groq,common_voice_pt_22009148.mp3,4.75,0.79,0.167,0.1111,0.0244,reserve 1 hotel para amanhã às 9 da noite,reserva 1 hotel para amanhã às 9 da noite
groq,common_voice_pt_30613698.mp3,4.90,0.87,0.177,0.5000,0.2286,de olho no pomar e outro no vinhedo,de olho do mar e outro dos viñedos
groq,common_voice_pt_30613704.mp3,2.81,1.24,0.440,0.0000,0.0000,todo mundo está em pé,todo mundo está em pé
groq,common_voice_pt_30613695.mp3,3.24,4.41,1.361,0.0000,0.0000,o que você fez,o que você fez
groq,common_voice_pt_30613709.mp3,7.24,1.15,0.160,0.2500,0.1071,estes sistemas são essenciais para o desenvolvimento do catalão em novas tecnologias,estes sistemas são 16 técnicos para o desenvolvimento do catalão e novas tecnologias
groq,common_voice_pt_30613708.mp3,3.42,0.89,0.260,0.0000,0.0000,nossa senhora dos remédios,nossa senhora dos remédios
groq,common_voice_pt_30613696.mp3,5.15,0.84,0.163,0.0000,0.0000,pegue as amostras para sua observação,pegue as amostras para sua observação
groq,common_voice_pt_29206687.mp3,2.92,0.77,0.263,0.0000,0.0000,barra do guarita,barra do guarita
groq,common_voice_pt_29206190.mp3,4.54,0.76,0.168,0.2857,0.0732,a parte complicada é integrálo ao sistema,að parte complicada é integral ao sistema
groq,common_voice_pt_29206688.mp3,5.40,0.85,0.157,0.1667,0.0492,ele tentou coletar estrume da rua e vendêlos mas ele não saiu,ele tentou coletar esse trume da rua e vendêlos mas ele não saiu
groq,common_voice_pt_29206689.mp3,3.60,0.89,0.247,0.0000,0.0000,aquele que avisa não é 1 traidor,aquele que avisa não é 1 traidor
groq,common_voice_pt_29206191.mp3,5.44,1.02,0.187,0.0833,0.0462,para demiurgo o universo sensível tem a textura de 1 teia molhada,para demiúlogo o universo sensível tem a textura de 1 teia molhada
groq,common_voice_pt_29206743.mp3,2.81,0.78,0.277,1.0000,0.5714,e é a torneira,ihr torneider
groq,common_voice_pt_29206745.mp3,4.79,0.94,0.196,0.0000,0.0000,defende a urna eletrônica e critica apoiadores,defende a urna eletrônica e critica apoiadores
groq,common_voice_pt_29206741.mp3,5.51,0.94,0.171,0.0909,0.0308,da mesma forma devemos acrescentar o tema da morte e ressurreição,da mesma forma devemos acrescentar o termo da morte e ressurreição
groq,common_voice_pt_36049718.mp3,4.97,0.91,0.182,0.0000,0.0000,você sabe que vai começar a filmar amanhã,você sabe que vai começar a filmar amanhã
groq,common_voice_pt_36049353.mp3,4.50,0.94,0.208,0.0000,0.0000,o olhar para o aluno é individualizado,o olhar para o aluno é individualizado
groq,common_voice_pt_36049652.mp3,3.78,4.04,1.068,0.0000,0.0000,santa cecília do pavão,santa cecília do pavão
groq,common_voice_pt_36049721.mp3,3.89,4.11,1.056,0.0000,0.0000,conceição do canindé,conceição do canindé
groq,common_voice_pt_36049228.mp3,4.25,3.96,0.931,0.0000,0.0000,você pode mudar de ideia,você pode mudar de ideia
groq,common_voice_pt_36049649.mp3,7.85,4.56,0.581,0.0714,0.0132,de repente 1 dos falcões fez 1 mergulho intermitente no céu atacando o outro,de repente 1 dos halcões fez 1 mergulho intermitente no céu atacando o outro
groq,common_voice_pt_36049232.mp3,5.33,4.77,0.895,0.0000,0.0000,população crime e pauperismo,população crime e pauperismo
groq,common_voice_pt_36049351.mp3,6.41,6.09,0.950,0.0000,0.0000,você está hoje ou aqui para eu vir comigo por 5 minutos,você está hoje ou aqui para eu vir comigo por 5 minutos
groq,common_voice_pt_36049722.mp3,4.86,0.90,0.184,0.2222,0.3256,foi como ver a noiva na décima segunda hora,foi como ver a noiva na 12ª hora
groq,common_voice_pt_36049720.mp3,4.14,4.09,0.987,0.0000,0.0000,o senhor tem 1 grande susto,o senhor tem 1 grande susto
groq,common_voice_pt_36049719.mp3,8.14,4.24,0.521,0.0000,0.0000,exercícios que beneficiam cada grupo muscular e articulam aqueles que compõem a coluna,exercícios que beneficiam cada grupo muscular e articulam aqueles que compõem a coluna
groq,common_voice_pt_19276296.mp3,2.74,3.91,1.431,0.0000,0.0000,projetor de tela,projetor de tela
groq,common_voice_pt_19276293.mp3,3.62,4.09,1.129,0.0000,0.0000,ter 1 plano de longo prazo,ter 1 plano de longo prazo
groq,common_voice_pt_19276298.mp3,3.34,4.10,1.229,0.0000,0.0000,ela nasceu em phoenix arizona,ela nasceu em phoenix arizona
groq,common_voice_pt_19276294.mp3,3.26,4.21,1.291,0.0000,0.0000,nós não temos relação de sangue,nós não temos relação de sangue
groq,common_voice_pt_19276292.mp3,7.58,4.94,0.651,0.0000,0.0000,alguém pode atender o telefone,alguém pode atender o telefone
groq,common_voice_pt_19276297.mp3,4.06,4.06,1.002,0.0000,0.0000,a alça da taça está quebrada,a alça da taça está quebrada
groq,common_voice_pt_19276300.mp3,4.06,4.12,1.015,0.1667,0.0323,o árabe aceitouos sem 1 palavra,o árabe aceitouos tem 1 palavra
groq,common_voice_pt_19276301.mp3,4.30,4.09,0.953,0.0000,0.0000,o festival de arte foi 1 desastre,o festival de arte foi 1 desastre
groq,common_voice_pt_19276315.mp3,2.74,3.98,1.455,0.0000,0.0000,não é 1 pouco cheio,não é 1 pouco cheio
